Date,Actual_Temp,Predicted_Temp,Error
2023-02-26,34.2,32.682808452598465,1.5171915474015378
2023-02-27,34.8,32.884451367300336,1.915548632699661
2023-02-28,34.3,32.517353884887726,1.7826461151122714
2023-03-01,34.0,31.729326916142668,2.270673083857332
2023-03-02,34.1,33.21813094523221,0.8818690547677903
2023-03-03,34.5,32.82498471000683,1.6750152899931692
2023-03-04,35.5,33.97258075749349,1.527419242506511
2023-03-05,35.8,34.15518685651741,1.6448131434825868
2023-03-06,34.1,33.17093195250176,0.9290680474982409
2023-03-07,29.2,32.372342464473505,-3.1723424644735054
2023-03-08,32.2,32.5837923022417,-0.38379230224169447
2023-03-09,32.5,33.482847551688586,-0.982847551688586
2023-03-10,33.2,33.59151981177212,-0.39151981177212036
2023-03-11,33.8,33.670890684991974,0.12910931500802292
2023-03-12,34.3,34.12898459803838,0.17101540196161835
2023-03-13,34.5,34.82853773187482,-0.3285377318748175
2023-03-14,34.9,34.184435985684075,0.7155640143159232
2023-03-15,32.4,34.395943787740734,-1.9959437877407353
2023-03-16,31.8,33.45913189200464,-1.6591318920046412
2023-03-17,30.9,33.73364352138978,-2.8336435213897815
2023-03-18,30.7,33.92303575861747,-3.223035758617474
2023-03-19,30.9,33.52796338297443,-2.6279633829744284
2023-03-20,30.0,33.732150587473264,-3.7321505874732637
2023-03-21,30.1,33.632781352291886,-3.5327813522918845
2023-03-22,30.2,34.03107944773021,-3.8310794477302075
2023-03-23,31.2,34.32815005565633,-3.128150055656331
2023-03-24,33.1,34.251251641379454,-1.151251641379453
2023-03-25,33.5,34.49148279799559,-0.9914827979955874
2023-03-26,32.9,34.14464687532548,-1.2446468753254791
2023-03-27,33.3,34.40034711545299,-1.1003471154529905
2023-03-28,33.7,34.835999525522396,-1.1359995255223936
2023-03-29,34.9,35.08069408758665,-0.18069408758665162
2023-03-30,32.4,34.94131463116912,-2.541314631169122
2023-03-31,30.8,35.66610744018585,-4.866107440185846
2023-04-01,33.2,35.35087318230609,-2.1508731823060856
2023-04-02,33.4,35.28986330722095,-1.8898633072209492
2023-04-03,34.1,35.25439566078685,-1.1543956607868466
2023-04-04,35.6,35.943602663305136,-0.3436026633051341
2023-04-05,35.7,36.42107829616335,-0.7210782961633484
2023-04-06,35.6,37.73378767427782,-2.1337876742778192
2023-04-07,35.6,37.3419586223769,-1.7419586223768988
2023-04-08,32.4,36.64410195138931,-4.244101951389311
2023-04-09,35.2,36.93021609449378,-1.7302160944937768
2023-04-10,34.5,37.86064637075512,-3.36064637075512
2023-04-11,36.3,37.52398273657851,-1.2239827365785132
2023-04-12,35.8,38.255877784142676,-2.455877784142679
2023-04-13,37.1,38.66354412462239,-1.5635441246223891
2023-04-14,36.3,38.31580798314155,-2.0158079831415563
2023-04-15,35.5,37.3919980525984,-1.891998052598403
2023-04-16,36.4,36.73006425493071,-0.33006425493071134
2023-04-17,36.4,38.0457090968456,-1.6457090968456
2023-04-18,36.8,37.3019623087844,-0.5019623087843996
2023-04-19,38.2,38.776622996236526,-0.576622996236523
2023-04-20,36.9,37.6306788960961,-0.7306788960961015
2023-04-21,35.5,36.890546653863154,-1.3905466538631543
2023-04-22,34.3,36.86512659374246,-2.5651265937424625
2023-04-23,34.8,36.3846286781313,-1.5846286781313026
2023-04-24,36.9,37.02330206743826,-0.12330206743826011
2023-04-25,37.2,37.037759447574565,0.16224055242543756
2023-04-26,33.9,36.81938357922814,-2.919383579228139
2023-04-27,34.3,37.46022190296987,-3.160221902969873
2023-04-28,33.9,37.54356134762856,-3.6435613476285624
2023-04-29,33.6,37.10413944391392,-3.504139443913921
2023-04-30,34.3,36.714334200990976,-2.4143342009909787
2023-05-01,33.4,36.40718521578935,-3.007185215789349
2023-05-02,32.8,36.95113830566545,-4.151138305665455
2023-05-03,31.7,37.04451312427595,-5.344513124275952
2023-05-04,33.5,36.90893152812515,-3.4089315281251515
2023-05-05,34.6,36.80232775318366,-2.20232775318366
2023-05-06,34.5,37.02860355531707,-2.528603555317069
2023-05-07,33.4,37.93626110021678,-4.536261100216784
2023-05-08,34.1,37.37695674825378,-3.276956748253781
2023-05-09,36.4,37.867578475079654,-1.4675784750796552
2023-05-10,38.5,38.284234854454496,0.21576514554550386
2023-05-11,40.5,37.57848511232279,2.921514887677212
2023-05-12,39.4,37.40694036751102,1.993059632488979
2023-05-13,36.4,37.52065766871713,-1.1206576687171292
2023-05-14,36.1,36.91746553146869,-0.8174655314686916
2023-05-15,35.6,36.568911202699574,-0.968911202699573
2023-05-16,35.5,36.23766994200352,-0.7376699420035209
2023-05-17,37.3,36.09141522964321,1.2085847703567865
2023-05-18,38.1,36.361797086290025,1.7382029137099764
2023-05-19,38.6,36.09887382334662,2.501126176653379
2023-05-20,36.8,36.11758157106161,0.6824184289383837
2023-05-21,36.4,35.715972409274336,0.6840275907256625
2023-05-22,37.4,35.6828863410257,1.7171136589742986
2023-05-23,39.1,35.36854732880227,3.7314526711977294
2023-05-24,36.9,35.699758300162685,1.2002416998373135
2023-05-25,34.8,35.2623684591447,-0.4623684591447059
2023-05-26,33.8,35.12928253310524,-1.3292825331052427
2023-05-27,34.3,34.55533628936802,-0.25533628936802444
2023-05-28,36.1,34.466669126060495,1.6333308739395065
2023-05-29,38.5,34.15921080716312,4.34078919283688
2023-05-30,38.3,34.09038624607587,4.209613753924124
2023-05-31,39.5,34.302431417287615,5.197568582712385
2023-06-01,38.9,34.10714363430814,4.792856365691861
2023-06-02,35.4,33.56477158485011,1.835228415149892
2023-06-03,35.9,33.54318568718913,2.3568143128108687
2023-06-04,33.1,33.309689166496234,-0.20968916649623282
2023-06-05,34.3,32.7346411045468,1.565358895453194
2023-06-06,35.6,32.658082747666526,2.941917252333475
2023-06-07,35.9,32.542238049365736,3.357761950634263
2023-06-08,35.8,32.48049832267429,3.319501677325704
2023-06-09,36.1,32.251249222137446,3.8487507778625556
2023-06-10,34.5,31.830625065785974,2.6693749342140265
2023-06-11,34.5,31.45484241901247,3.0451575809875315
2023-06-12,34.0,30.765901563027892,3.2340984369721077
2023-06-13,31.6,30.846255052035097,0.7537449479649041
2023-06-14,32.0,30.497816136001614,1.5021838639983862
2023-06-15,32.8,30.443147697317357,2.35685230268264
2023-06-16,31.3,29.644967583077385,1.6550324169226158
2023-06-17,32.1,30.177142078062253,1.922857921937748
2023-06-18,32.7,29.8190708303963,2.8809291696037036
2023-06-19,33.1,29.700657108427617,3.3993428915723847
2023-06-20,33.1,29.512424817973873,3.5875751820261286
2023-06-21,33.6,29.10697009160272,4.493029908397283
2023-06-22,33.5,29.27598973383968,4.22401026616032
2023-06-23,32.2,29.120664668422233,3.07933533157777
2023-06-24,32.2,28.646009308732367,3.553990691267636
2023-06-25,27.8,28.131609858904994,-0.3316098589049936
2023-06-26,25.7,28.13829568645631,-2.4382956864563106
2023-06-27,28.4,28.282155986294008,0.11784401370599085
2023-06-28,28.5,27.29980012121498,1.2001998787850212
2023-06-29,25.7,27.17841271880167,-1.4784127188016711
2023-06-30,26.7,25.760746092776753,0.9392539072232466
2023-07-01,27.0,27.39150337026811,-0.39150337026811144
2023-07-02,28.1,27.67943719314444,0.42056280685556047
2023-07-03,29.0,27.92843775386754,1.0715622461324585
2023-07-04,29.3,27.897520697382177,1.4024793026178237
